k,n,t,width,height,time
16,50,2,1280,720,1.954278
16,50,2,1280,720,1.926165
32,50,2,1280,720,3.879039
32,50,2,1280,720,3.921757
64,50,2,1280,720,6.751972
64,50,2,1280,720,6.781373
128,50,2,1280,720,12.300194
128,50,2,1280,720,12.098786
256,50,2,1280,720,22.862359
256,50,2,1280,720,22.731676
16,50,4,1280,720,1.056123
16,50,4,1280,720,1.073342
32,50,4,1280,720,2.070585
32,50,4,1280,720,2.063049
64,50,4,1280,720,3.674142
64,50,4,1280,720,3.674891
128,50,4,1280,720,6.562956
128,50,4,1280,720,6.419140
256,50,4,1280,720,12.183477
256,50,4,1280,720,12.073108
16,50,8,1280,720,0.549941
16,50,8,1280,720,0.557195
32,50,8,1280,720,1.099655
32,50,8,1280,720,1.078820
64,50,8,1280,720,1.830070
64,50,8,1280,720,2.003849
128,50,8,1280,720,3.423095
128,50,8,1280,720,3.455486
256,50,8,1280,720,6.348846
256,50,8,1280,720,6.381522
16,50,16,1280,720,0.282469
16,50,16,1280,720,0.286878
32,50,16,1280,720,0.552185
32,50,16,1280,720,0.577835
64,50,16,1280,720,0.991177
64,50,16,1280,720,0.967077
128,50,16,1280,720,1.711046
128,50,16,1280,720,1.696398
256,50,16,1280,720,3.193296
256,50,16,1280,720,3.194131
16,50,32,1280,720,0.395975
16,50,32,1280,720,0.251603
32,50,32,1280,720,0.597605
32,50,32,1280,720,0.613122
64,50,32,1280,720,0.975729
64,50,32,1280,720,0.968521
128,50,32,1280,720,1.648765
128,50,32,1280,720,1.595998
256,50,32,1280,720,2.898949
256,50,32,1280,720,2.995417
16,50,64,1280,720,0.379881
16,50,64,1280,720,0.403377
32,50,64,1280,720,0.578913
32,50,64,1280,720,0.581170
64,50,64,1280,720,0.785967
64,50,64,1280,720,0.777850
128,50,64,1280,720,1.151691
128,50,64,1280,720,1.164693
256,50,64,1280,720,1.796726
256,50,64,1280,720,1.830429
16,50,2,900,600,1.158001
16,50,2,900,600,1.161350
32,50,2,900,600,2.224647
32,50,2,900,600,2.255804
64,50,2,900,600,3.894870
64,50,2,900,600,3.884578
128,50,2,900,600,7.118912
128,50,2,900,600,7.075039
256,50,2,900,600,13.257268
256,50,2,900,600,13.318144
16,50,4,900,600,0.623907
16,50,4,900,600,0.609568
32,50,4,900,600,1.179552
32,50,4,900,600,1.190983
64,50,4,900,600,2.054651
64,50,4,900,600,2.105521
128,50,4,900,600,3.794810
128,50,4,900,600,3.773922
256,50,4,900,600,7.063052
256,50,4,900,600,7.057726
16,50,8,900,600,0.331218
16,50,8,900,600,0.340061
32,50,8,900,600,0.643299
32,50,8,900,600,0.625182
64,50,8,900,600,1.156965
64,50,8,900,600,1.107951
128,50,8,900,600,2.001006
128,50,8,900,600,2.013428
256,50,8,900,600,3.711056
256,50,8,900,600,3.725181
16,50,16,900,600,0.170396
16,50,16,900,600,0.178027
32,50,16,900,600,0.348181
32,50,16,900,600,0.335544
64,50,16,900,600,0.610344
64,50,16,900,600,0.568741
128,50,16,900,600,1.013929
128,50,16,900,600,1.018912
256,50,16,900,600,1.875522
256,50,16,900,600,1.892359
16,50,32,900,600,0.425323
16,50,32,900,600,0.407260
32,50,32,900,600,0.369219
32,50,32,900,600,0.400297
64,50,32,900,600,0.654125
64,50,32,900,600,0.563183
128,50,32,900,600,1.073829
128,50,32,900,600,0.980422
256,50,32,900,600,1.872546
256,50,32,900,600,1.801077
16,50,64,900,600,0.320482
16,50,64,900,600,0.433394
32,50,64,900,600,0.166676
32,50,64,900,600,0.461954
64,50,64,900,600,0.595882
64,50,64,900,600,0.414226
128,50,64,900,600,0.811203
128,50,64,900,600,0.821428
256,50,64,900,600,1.192158
256,50,64,900,600,1.187314
16,50,2,640,480,0.645362
16,50,2,640,480,0.655748
32,50,2,640,480,1.276829
32,50,2,640,480,1.302264
64,50,2,640,480,2.267727
64,50,2,640,480,2.249021
128,50,2,640,480,4.101161
128,50,2,640,480,4.095466
256,50,2,640,480,7.575572
256,50,2,640,480,7.593485
16,50,4,640,480,0.353600
16,50,4,640,480,0.358546
32,50,4,640,480,0.687590
32,50,4,640,480,0.667150
64,50,4,640,480,1.225659
64,50,4,640,480,1.203532
128,50,4,640,480,2.201566
128,50,4,640,480,2.195935
256,50,4,640,480,4.054301
256,50,4,640,480,4.050312
16,50,8,640,480,0.192095
16,50,8,640,480,0.190631
32,50,8,640,480,0.373482
32,50,8,640,480,0.366009
64,50,8,640,480,0.647889
64,50,8,640,480,0.618815
128,50,8,640,480,1.129040
128,50,8,640,480,1.156543
256,50,8,640,480,2.119256
256,50,8,640,480,2.128532
16,50,16,640,480,0.107933
16,50,16,640,480,0.101481
32,50,16,640,480,0.195432
32,50,16,640,480,0.191748
64,50,16,640,480,0.334856
64,50,16,640,480,0.334757
128,50,16,640,480,0.583758
128,50,16,640,480,0.583866
256,50,16,640,480,1.086670
256,50,16,640,480,1.076489
16,50,32,640,480,0.240138
16,50,32,640,480,0.180352
32,50,32,640,480,0.235627
32,50,32,640,480,0.408893
64,50,32,640,480,0.402951
64,50,32,640,480,0.341383
128,50,32,640,480,0.587179
128,50,32,640,480,0.641768
256,50,32,640,480,1.107887
256,50,32,640,480,1.149131
16,50,64,640,480,0.233530
16,50,64,640,480,0.308236
32,50,64,640,480,0.260029
32,50,64,640,480,0.436829
64,50,64,640,480,0.483678
64,50,64,640,480,0.489835
128,50,64,640,480,0.607784
128,50,64,640,480,0.622788
256,50,64,640,480,0.759366
256,50,64,640,480,0.872295
16,50,2,320,240,0.175893
16,50,2,320,240,0.179312
32,50,2,320,240,0.324310
32,50,2,320,240,0.331597
